hetRisNN,num_feats,feat_noise,edge-noise,num_nodes,degree,num_edges,num_classes,het,model,,test_acc,std,Val acc
"hetRisNN50,75",15,0,0,1000,4,2000,5,"0,75",MLP,Test acc: 19.8500 +/- 4.7278 | Val acc: 23.6000,19.8500, 4.7278,23.6000
"hetRisNN50,75",15,0,0,1000,4,2000,5,"0,75",VanillaSheaf,Test acc: 17.9500 +/- 2.8500 | Val acc: 21.1500,17.9500, 2.8500,21.1500
"hetRisNN50,75",15,0,0,1000,4,2000,5,"0,75",DiagSheaf,Test acc: 47.6500 +/- 5.5002 | Val acc: 50.3500,47.6500, 5.5002,50.3500
"hetRisNN50,75",15,0,0,1000,4,2000,5,"0,75",RotInvSheaf NoTime,Test acc: 41.3500 +/- 4.1416 | Val acc: 43.5500,41.3500, 4.1416,43.5500
"hetRisNN50,75",15,0,0,1000,4,2000,5,"0,75",RotInvSheaf Time,Test acc: 43.8500 +/- 2.3027 | Val acc: 44.9500,43.8500, 2.3027,44.9500
hetRisNN51,15,0,0,1000,4,2000,5,1,MLP,Test acc: 19.8500 +/- 4.7278 | Val acc: 23.6000,19.8500, 4.7278,23.6000
hetRisNN51,15,0,0,1000,4,2000,5,1,VanillaSheaf,Test acc: 17.8500 +/- 2.6930 | Val acc: 19.7000,17.8500, 2.6930,19.7000
hetRisNN51,15,0,0,1000,4,2000,5,1,DiagSheaf,Test acc: 49.1000 +/- 3.3226 | Val acc: 50.8500,49.1000, 3.3226,50.8500
hetRisNN51,15,0,0,1000,4,2000,5,1,RotInvSheaf NoTime,Test acc: 42.5000 +/- 4.4777 | Val acc: 45.2500,42.5000, 4.4777,45.2500
hetRisNN51,15,0,0,1000,4,2000,5,1,RotInvSheaf Time,Test acc: 44.9500 +/- 3.5387 | Val acc: 45.4500,44.9500, 3.5387,45.4500
