hetDiff,num_feats,feat_noise,edge-noise,num_nodes,degree,num_edges,num_classes,het,model,,test_acc,std,Val acc
"hetDiff30,75",4,0,0,600,4,1200,3,"0,75",JointSheaf Init,Test acc: 55.8333 +/- 5.5277 | Val acc: 58.5833,55.8333, 5.5277,58.5833
"hetDiff30,75",4,0,0,600,4,1200,3,"0,75",JointSheaf Params,Test acc: 59.9167 +/- 6.5558 | Val acc: 64.1667,59.9167, 6.5558,64.1667
hetDiff31,4,0,0,600,4,1200,3,1,MLP,Test acc: 46.5833 +/- 2.9686 | Val acc: 43.0833,46.5833, 2.9686,43.0833
hetDiff31,4,0,0,600,4,1200,3,1,VanillaSheaf,Test acc: 36.3333 +/- 4.3493 | Val acc: 36.9167,36.3333, 4.3493,36.9167
hetDiff31,4,0,0,600,4,1200,3,1,DiagSheaf,Test acc: 50.0833 +/- 5.2500 | Val acc: 47.6667,50.0833, 5.2500,47.6667
hetDiff31,4,0,0,600,4,1200,3,1,JointSheaf NoInit,Test acc: 41.0000 +/- 6.4957 | Val acc: 44.1667,41.0000, 6.4957,44.1667
hetDiff31,4,0,0,600,4,1200,3,1,JointSheaf Init,Test acc: 67.3333 +/- 3.3912 | Val acc: 67.4167,67.3333, 3.3912,67.4167
hetDiff31,4,0,0,600,4,1200,3,1,JointSheaf Params,Test acc: 62.5000 +/- 6.8313 | Val acc: 63.9167,62.5000, 6.8313,63.9167
hetDiff40,4,0,0,800,4,1600,4,0,MLP,Test acc: 30.3750 +/- 3.0000 | Val acc: 32.0625,30.3750, 3.0000,32.0625
hetDiff40,4,0,0,800,4,1600,4,0,VanillaSheaf,Test acc: 39.1875 +/- 5.5835 | Val acc: 40.2500,39.1875, 5.5835,40.2500
hetDiff40,4,0,0,800,4,1600,4,0,DiagSheaf,Test acc: 39.4375 +/- 8.6758 | Val acc: 39.0000,39.4375, 8.6758,39.0000
hetDiff40,4,0,0,800,4,1600,4,0,JointSheaf NoInit,Test acc: 50.0625 +/- 4.7224 | Val acc: 49.6250,50.0625, 4.7224,49.6250
hetDiff40,4,0,0,800,4,1600,4,0,JointSheaf Init,Test acc: 45.4375 +/- 6.4107 | Val acc: 48.6250,45.4375, 6.4107,48.6250
hetDiff40,4,0,0,800,4,1600,4,0,JointSheaf Params,Test acc: 48.5625 +/- 5.6875 | Val acc: 52.3750,48.5625, 5.6875,52.3750
"hetDiff40,25",4,0,0,800,4,1600,4,"0,25",MLP,Test acc: 30.6250 +/- 2.8641 | Val acc: 31.6250,30.6250, 2.8641,31.6250
"hetDiff40,25",4,0,0,800,4,1600,4,"0,25",VanillaSheaf,Test acc: 35.1250 +/- 4.7170 | Val acc: 34.1250,35.1250, 4.7170,34.1250
"hetDiff40,25",4,0,0,800,4,1600,4,"0,25",DiagSheaf,Test acc: 31.0625 +/- 5.8567 | Val acc: 31.1250,31.0625, 5.8567,31.1250
"hetDiff40,25",4,0,0,800,4,1600,4,"0,25",JointSheaf NoInit,Test acc: 43.1875 +/- 2.0243 | Val acc: 43.1250,43.1875, 2.0243,43.1250
"hetDiff40,25",4,0,0,800,4,1600,4,"0,25",JointSheaf Init,Test acc: 39.8125 +/- 5.6531 | Val acc: 40.9375,39.8125, 5.6531,40.9375
"hetDiff40,25",4,0,0,800,4,1600,4,"0,25",JointSheaf Params,Test acc: 41.1875 +/- 3.9076 | Val acc: 39.1250,41.1875, 3.9076,39.1250
"hetDiff40,5",4,0,0,800,4,1600,4,"0,5",MLP,Test acc: 30.6250 +/- 2.8641 | Val acc: 31.6250,30.6250, 2.8641,31.6250
"hetDiff40,5",4,0,0,800,4,1600,4,"0,5",VanillaSheaf,Test acc: 26.3125 +/- 5.6834 | Val acc: 27.8125,26.3125, 5.6834,27.8125
"hetDiff40,5",4,0,0,800,4,1600,4,"0,5",DiagSheaf,Test acc: 27.6875 +/- 3.2119 | Val acc: 27.1875,27.6875, 3.2119,27.1875
"hetDiff40,5",4,0,0,800,4,1600,4,"0,5",JointSheaf NoInit,Test acc: 35.6250 +/- 3.4460 | Val acc: 36.5625,35.6250, 3.4460,36.5625
"hetDiff40,5",4,0,0,800,4,1600,4,"0,5",JointSheaf Init,Test acc: 32.8750 +/- 4.7203 | Val acc: 36.2500,32.8750, 4.7203,36.2500
"hetDiff40,5",4,0,0,800,4,1600,4,"0,5",JointSheaf Params,Test acc: 30.6250 +/- 2.8641 | Val acc: 31.6250,30.6250, 2.8641,31.6250
"hetDiff40,75",4,0,0,800,4,1600,4,"0,75",MLP,Test acc: 30.6250 +/- 2.8641 | Val acc: 31.6250,30.6250, 2.8641,31.6250
"hetDiff40,75",4,0,0,800,4,1600,4,"0,75",VanillaSheaf,Test acc: 28.0000 +/- 4.4704 | Val acc: 26.3750,28.0000, 4.4704,26.3750
"hetDiff40,75",4,0,0,800,4,1600,4,"0,75",DiagSheaf,Test acc: 27.4375 +/- 3.2289 | Val acc: 30.7500,27.4375, 3.2289,30.7500
"hetDiff40,75",4,0,0,800,4,1600,4,"0,75",JointSheaf NoInit,Test acc: 32.5625 +/- 3.3007 | Val acc: 32.3750,32.5625, 3.3007,32.3750
"hetDiff40,75",4,0,0,800,4,1600,4,"0,75",JointSheaf Init,Test acc: 36.7500 +/- 4.5052 | Val acc: 38.4375,36.7500, 4.5052,38.4375
"hetDiff40,75",4,0,0,800,4,1600,4,"0,75",JointSheaf Params,Test acc: 34.0000 +/- 4.1758 | Val acc: 37.0000,34.0000, 4.1758,37.0000
hetDiff41,4,0,0,800,4,1600,4,1,MLP,Test acc: 30.6250 +/- 2.8641 | Val acc: 31.6250,30.6250, 2.8641,31.6250
hetDiff41,4,0,0,800,4,1600,4,1,VanillaSheaf,Test acc: 24.0000 +/- 4.1382 | Val acc: 25.5000,24.0000, 4.1382,25.5000
hetDiff41,4,0,0,800,4,1600,4,1,DiagSheaf,Test acc: 28.5625 +/- 2.8919 | Val acc: 29.1250,28.5625, 2.8919,29.1250
hetDiff41,4,0,0,800,4,1600,4,1,JointSheaf NoInit,Test acc: 26.6250 +/- 2.7272 | Val acc: 30.9375,26.6250, 2.7272,30.9375
hetDiff41,4,0,0,800,4,1600,4,1,JointSheaf Init,Test acc: 36.8750 +/- 2.4686 | Val acc: 39.7500,36.8750, 2.4686,39.7500
hetDiff41,4,0,0,800,4,1600,4,1,JointSheaf Params,Test acc: 38.1250 +/- 3.5134 | Val acc: 42.8125,38.1250, 3.5134,42.8125
hetDiff50,4,0,0,1000,4,2000,5,0,MLP,Test acc: 40.0000 +/- 3.8665 | Val acc: 39.0500,40.0000, 3.8665,39.0500
hetDiff50,4,0,0,1000,4,2000,5,0,VanillaSheaf,Test acc: 47.5500 +/- 4.5467 | Val acc: 46.1000,47.5500, 4.5467,46.1000
hetDiff50,4,0,0,1000,4,2000,5,0,DiagSheaf,Test acc: 42.6000 +/- 5.9992 | Val acc: 40.3000,42.6000, 5.9992,40.3000
hetDiff50,4,0,0,1000,4,2000,5,0,JointSheaf NoInit,Test acc: 54.6000 +/- 3.8000 | Val acc: 54.4500,54.6000, 3.8000,54.4500
hetDiff50,4,0,0,1000,4,2000,5,0,JointSheaf Init,Test acc: 53.3500 +/- 5.9205 | Val acc: 54.1000,53.3500, 5.9205,54.1000
hetDiff50,4,0,0,1000,4,2000,5,0,JointSheaf Params,Test acc: 54.2500 +/- 7.6330 | Val acc: 52.3000,54.2500, 7.6330,52.3000
"hetDiff50,25",4,0,0,1000,4,2000,5,"0,25",MLP,Test acc: 40.0000 +/- 3.8665 | Val acc: 39.0500,40.0000, 3.8665,39.0500
"hetDiff50,25",4,0,0,1000,4,2000,5,"0,25",VanillaSheaf,Test acc: 47.5500 +/- 4.5467 | Val acc: 46.1000,47.5500, 4.5467,46.1000
"hetDiff50,25",4,0,0,1000,4,2000,5,"0,25",DiagSheaf,Test acc: 42.6000 +/- 5.9992 | Val acc: 40.3000,42.6000, 5.9992,40.3000
"hetDiff50,25",4,0,0,1000,4,2000,5,"0,25",JointSheaf NoInit,Test acc: 54.6000 +/- 3.8000 | Val acc: 54.4500,54.6000, 3.8000,54.4500
"hetDiff50,25",4,0,0,1000,4,2000,5,"0,25",JointSheaf Init,Test acc: 53.3500 +/- 5.9205 | Val acc: 54.1000,53.3500, 5.9205,54.1000
"hetDiff50,25",4,0,0,1000,4,2000,5,"0,25",JointSheaf Params,Test acc: 54.2500 +/- 7.6330 | Val acc: 52.3000,54.2500, 7.6330,52.3000
"hetDiff50,5",4,0,0,1000,4,2000,5,"0,5",MLP,Test acc: 39.9500 +/- 3.7447 | Val acc: 39.0000,39.9500, 3.7447,39.0000
"hetDiff50,5",4,0,0,1000,4,2000,5,"0,5",VanillaSheaf,Test acc: 37.6500 +/- 3.1389 | Val acc: 35.5500,37.6500, 3.1389,35.5500
"hetDiff50,5",4,0,0,1000,4,2000,5,"0,5",DiagSheaf,Test acc: 36.1000 +/- 3.0232 | Val acc: 36.4000,36.1000, 3.0232,36.4000
"hetDiff50,5",4,0,0,1000,4,2000,5,"0,5",JointSheaf NoInit,Test acc: 47.4000 +/- 1.8000 | Val acc: 48.4500,47.4000, 1.8000,48.4500
"hetDiff50,5",4,0,0,1000,4,2000,5,"0,5",JointSheaf Init,Test acc: 41.8500 +/- 3.2485 | Val acc: 43.3500,41.8500, 3.2485,43.3500
"hetDiff50,5",4,0,0,1000,4,2000,5,"0,5",JointSheaf Params,Test acc: 45.1500 +/- 8.1303 | Val acc: 45.5000,45.1500, 8.1303,45.5000
"hetDiff50,75",4,0,0,1000,4,2000,5,"0,75",MLP,Test acc: 39.9500 +/- 3.7447 | Val acc: 39.0000,39.9500, 3.7447,39.0000
"hetDiff50,75",4,0,0,1000,4,2000,5,"0,75",VanillaSheaf,Test acc: 30.6000 +/- 5.3235 | Val acc: 31.1000,30.6000, 5.3235,31.1000
"hetDiff50,75",4,0,0,1000,4,2000,5,"0,75",DiagSheaf,Test acc: 30.9500 +/- 5.8329 | Val acc: 28.7500,30.9500, 5.8329,28.7500
"hetDiff50,75",4,0,0,1000,4,2000,5,"0,75",JointSheaf NoInit,Test acc: 39.2500 +/- 2.4520 | Val acc: 38.8000,39.2500, 2.4520,38.8000
"hetDiff50,75",4,0,0,1000,4,2000,5,"0,75",JointSheaf Init,Test acc: 44.2500 +/- 2.2611 | Val acc: 41.8500,44.2500, 2.2611,41.8500
"hetDiff50,75",4,0,0,1000,4,2000,5,"0,75",JointSheaf Params,Test acc: 42.4000 +/- 4.6357 | Val acc: 43.1000,42.4000, 4.6357,43.1000
hetDiff51,4,0,0,1000,4,2000,5,1,MLP,Test acc: 39.9500 +/- 3.7447 | Val acc: 39.0000,39.9500, 3.7447,39.0000
hetDiff51,4,0,0,1000,4,2000,5,1,VanillaSheaf,Test acc: 26.0500 +/- 1.2135 | Val acc: 22.8500,26.0500, 1.2135,22.8500
hetDiff51,4,0,0,1000,4,2000,5,1,DiagSheaf,Test acc: 28.3500 +/- 3.1627 | Val acc: 28.2500,28.3500, 3.1627,28.2500
hetDiff51,4,0,0,1000,4,2000,5,1,JointSheaf NoInit,Test acc: 32.2000 +/- 5.2402 | Val acc: 31.1000,32.2000, 5.2402,31.1000
hetDiff51,4,0,0,1000,4,2000,5,1,JointSheaf Init,Test acc: 41.9500 +/- 3.6909 | Val acc: 42.0500,41.9500, 3.6909,42.0500
hetDiff51,4,0,0,1000,4,2000,5,1,JointSheaf Params,Test acc: 42.1500 +/- 4.7595 | Val acc: 42.2000,42.1500, 4.7595,42.2000
